Outcome, Magnitude, Theta
1, 1.85591e+22, 0.00423619
0, 4.97874e+22, 0.238227
0, 4.1175e+22, 0.475605
0, 1.71905e+22, 1.43311
0, 3.77199e+22, 0.316579
0, 3.17086e+22, 0.481646
1, 6.61281e+21, 0.188098
0, 4.40478e+22, 0.262462
1, 1.86808e+22, 0.368993
1, 1.5567e+22, 1.44619
0, 8.52344e+21, 1.42494
0, 3.3492e+22, 1.51732
1, 1.27214e+22, 0.506193
0, 3.45909e+22, 0.647476
0, 4.20877e+22, 0.998362
0, 3.46889e+22, 0.75312
0, 4.43525e+22, 0.0321952
0, 2.48691e+22, 1.16325
0, 3.83449e+22, 0.33629
0, 3.13924e+22, 1.19856
0, 2.60875e+22, 0.697213
0, 3.93734e+22, 1.05751
1, 1.81728e+22, 0.597728
0, 1.51167e+22, 1.50693
1, 2.37672e+22, 0.334224
1, 2.04412e+22, 0.401132
